chamber,T_treatment,W_treatment,month
C01,ambient,control,Oct
C02,warmed,control,Oct
C03,ambient,control,Oct
C04,warmed,control,Oct
C05,ambient,control,Oct
C06,warmed,control,Oct
C07,ambient,control,Oct
C08,warmed,control,Oct
C09,ambient,control,Oct
C10,warmed,control,Oct
C11,ambient,control,Oct
C12,warmed,control,Oct
C01,ambient,control,Dec
C02,warmed,control,Dec
C03,ambient,control,Dec
C04,warmed,control,Dec
C05,ambient,control,Dec
C06,warmed,control,Dec
C07,ambient,control,Dec
C08,warmed,control,Dec
C09,ambient,control,Dec
C10,warmed,control,Dec
C11,ambient,control,Dec
C12,warmed,control,Dec
C01,ambient,control,Jan
C02,warmed,control,Jan
C03,ambient,control,Jan
C04,warmed,control,Jan
C05,ambient,control,Jan
C06,warmed,control,Jan
C07,ambient,control,Jan
C08,warmed,control,Jan
C09,ambient,control,Jan
C10,warmed,control,Jan
C11,ambient,control,Jan
C12,warmed,control,Jan
C01,ambient,drydown,Feb
C02,warmed,control,Feb
C03,ambient,drydown,Feb
C04,warmed,drydown,Feb
C05,ambient,control,Feb
C06,warmed,drydown,Feb
C07,ambient,control,Feb
C08,warmed,drydown,Feb
C09,ambient,control,Feb
C10,warmed,control,Feb
C11,ambient,drydown,Feb
C12,warmed,control,Feb
C01,ambient,drydown,Mar
C02,warmed,control,Mar
C03,ambient,drydown,Mar
C04,warmed,drydown,Mar
C05,ambient,control,Mar
C06,warmed,drydown,Mar
C07,ambient,control,Mar
C08,warmed,drydown,Mar
C09,ambient,control,Mar
C10,warmed,control,Mar
C11,ambient,drydown,Mar
C12,warmed,control,Mar
C01,ambient,drydown,Apr
C02,warmed,control,Apr
C03,ambient,drydown,Apr
C04,warmed,drydown,Apr
C05,ambient,control,Apr
C06,warmed,drydown,Apr
C07,ambient,control,Apr
C08,warmed,drydown,Apr
C09,ambient,control,Apr
C10,warmed,control,Apr
C11,ambient,drydown,Apr
C12,warmed,control,Apr
