"month","T_treatment","W_treatment","gmesT","gmesTse","gsT","gsTse","AT","ATse","iWUEt","iWUEtSE"
"Apr","ambient","control",0.335320108104411,0.102061251952073,0.124066177760209,0.00775644192495445,9.53267145732871,0.818412106744384,82.0086926077204,11.6203618091604
"Apr","ambient","drydown",0.123662626243166,0.0657792631551167,0.125064091367589,0.00467735490455883,8.39984628635204,1.87401640531105,68.3089908050677,13.5756900886748
"Apr","warmed","control",0.242134858696194,0.0211166517905132,0.0948678669533491,0.0115966201093218,6.92660894611968,0.0595030194333377,88.8928558926464,12.5811640134414
"Apr","warmed","drydown",0.282186280014965,0.082332361973907,0.0841905990386629,0.018087919236394,6.458970852774,0.817936389734472,85.0838758941034,10.4481802837337
"Dec","ambient","control",0.170636879719462,0.0392003866578459,0.142573969609564,0.0179257158086359,10.5089059245994,0.875720805357804,81.6761480632128,7.5521045252019
"Dec","warmed","control",0.160448344983758,0.0317984122486697,0.102919490490476,0.00921269460456793,7.82497311861255,0.486247311495185,81.1234072661525,4.38352642427122
"Feb","ambient","control",0.505211313018656,NA,0.125407326571313,NA,9.88899945952335,NA,84.3530222259986,NA
"Feb","ambient","drydown",0.462418670073016,0.174624762969487,0.112707979316521,0.0262757050194552,8.51430731012074,0.810035996691264,84.4123343170246,12.3219581305245
"Feb","warmed","control",0.223141586198984,0.148858034969438,0.0968242822773788,0.011777597640645,6.89157129022094,0.184837568283195,75.5150498191691,7.99474139025672
"Feb","warmed","drydown",0.188031017697067,0.0271129424891527,0.0503818517789294,0.00594177688333081,5.1086334868559,0.238825649469093,109.42770522956,18.6002162697843
"Jan","ambient","control",0.298780676192155,0.135509785847314,0.0650684146696467,0.0131938941712,6.47937991988334,0.685171620551011,113.529628598734,12.7205152512268
"Jan","warmed","control",0.161618154244827,0.0441338743155786,0.0413244284411633,0.00173649082235887,3.75181853008908,0.439076729005592,104.965135037869,14.8142675281519
"Mar","ambient","control",0.511889903465539,0.0816208171478849,0.143257080189386,0.0187363593669233,9.85576030973238,0.100710403633536,73.0324235399983,8.04651507863009
"Mar","ambient","drydown",0.176096285286295,0.0406276491869697,0.115123957869775,0.0175092514721937,8.17213041704126,0.642409894455707,77.5786928238121,8.78243161902473
"Mar","warmed","control",0.340897459209024,0.0751614993468196,0.085265000589926,0.0116079683761902,6.40254160166509,0.444798439832486,83.3531050297376,2.90870961877129
"Mar","warmed","drydown",0.141174763567851,0.0399602945603706,0.0662704512993887,0.0159728063486381,4.55519576327504,0.634424371172746,83.8565075833131,17.8577878101096
"Oct","ambient","control",0.411362306700294,0.0703473571177577,0.13275456145957,0.0074531944796403,12.3406367507118,1.37851327463236,100.820643948608,5.88102792666946
"Oct","warmed","control",0.36011183752673,0.0466092244233569,0.0936986806352155,0.0153843601188451,9.90185142701785,1.17033125593878,130.170067611318,12.3716150048261
