"month","T_treatment","W_treatment","d13CphMean","d13CphSE"
"Dec","ambient","control",-30.6583333333333,0.431905982567709
"Dec","warmed","control",-30.8916666666667,0.779664101463644
"Feb","ambient","control",-30.6766666666667,0.675705392739896
"Feb","ambient","drydown",-29.6566666666667,0.49187848544579
"Feb","warmed","control",-31.04,0.337095436535906
"Feb","warmed","drydown",-30.2133333333333,0.295653701331661
"Jan","ambient","control",-31.16,0.536314584300421
"Jan","warmed","control",-30.34,0.556506963119061
"Mar","ambient","control",-31.7166666666667,0.240300737502914
"Mar","ambient","drydown",-30.5033333333333,0.208273324690845
"Mar","warmed","control",-31.2366666666667,0.102034852433427
"Mar","warmed","drydown",-30.4566666666667,0.792660779344551
"Oct","ambient","control",-28.6366666666667,0.361512255824213
"Oct","warmed","control",-28.5866666666667,0.309512160952971
